species,tree_id,sample_id,p_2,p_5,p_8,pres_type
HH,1,1,1.23875,1.415,1.502708333,pres
HH,1,2,1.230833333,1.430166667,1.496041667,pres
HH,1,3,1.260833333,1.437166667,1.520625,pres
HH,2,4,1.552083333,1.571,1.587083333,pres
HH,2,5,1.672916667,1.589666667,1.628854167,pres
HH,2,6,1.765,1.593666667,1.6546875,pres
HH,3,7,1.364166667,1.595333333,1.8621875,pres
HH,3,8,1.274583333,1.604,1.888125,pres
HH,3,9,1.385833333,1.635833333,1.905729167,pres
VM,4,10,1.239583333,1.965666667,2.385,pres
VM,4,11,1.256666667,2.009333333,2.4140625,pres
VM,4,12,1.252916667,2.019,2.405416667,pres
VM,5,13,0.84,1.336,1.46,pres
VM,5,14,0.90625,1.3975,1.4890625,pres
VM,5,15,0.922083333,1.404333333,1.49125,pres
VM,6,16,1.3,1.169333333,1.445,pres
VM,6,17,1.364583333,1.239333333,1.4596875,pres
VM,6,18,1.442083333,1.263333333,1.478645833,pres
HB,7,19,1.71,2.091,3.15,pres
HB,7,20,1.816666667,2.24,3.152083333,pres
HB,7,21,1.866666667,2.280333333,3.142083333,pres
HB,8,22,3.343333333,4.336666667,4.745833333,pres
HB,8,23,3.625,4.531333333,4.810833333,pres
HB,8,24,3.550833333,4.54,4.817916667,pres
HB,9,25,5.709166667,5.914,5.434375,pres
HB,9,26,5.775,5.843666667,5.372916667,pres
HB,9,27,5.95,5.986666667,5.339791667,pres
TG,10,28,5.36375,5.527333333,4.910416667,pres
TG,10,29,5.403888889,5.491,4.991666667,pres
TG,10,30,NA,5.673666667,5.052083333,pres
TG,11,31,8.380833333,6.416666667,6.40125,pres
TG,11,32,8.216666667,6.39,6.58125,pres
TG,11,33,8.091666667,6.241,6.46875,pres
TG,12,34,15.02,11.829,15.14354167,pres
TG,12,35,14.36833333,12.03133333,14.96875,pres
TG,12,36,14.24166667,11.658,14.99166667,pres
AP,13,37,32.5375,22.495,17.851875,pres
AP,13,38,32.18,21.881,18.150625,pres
AP,13,39,31.4,21.564,17.97,pres
AP,14,40,26.37666667,21.04133333,19.35791667,pres
AP,14,41,26.89166667,21.44266667,19.14666667,pres
AP,14,42,27.11666667,21.596,19.12916667,pres
AP,15,43,36.485,25.768,21.3075,pres
AP,15,44,35.13,25.692,20.47125,pres
AP,15,45,34.6875,26.154,20.618125,pres
HH,1,46,1.105833333,0.8645,1.054791667,tens
HH,1,47,1.022083333,0.828833333,1.038854167,tens
HH,1,48,0.995833333,0.8175,1.027604167,tens
HH,2,49,0.705416667,0.759333333,0.818125,tens
HH,2,50,0.66,0.731833333,0.834375,tens
HH,2,51,0.598333333,0.7025,0.536770833,tens
HH,3,52,1.015416667,1.000833333,1.116979167,tens
HH,3,53,0.99375,0.987666667,1.095104167,tens
HH,3,54,0.995833333,0.952166667,1.0859375,tens
VM,4,55,0.994166667,1.190833333,1.061979167,tens
VM,4,56,0.922916667,1.1765,1.028229167,tens
VM,4,57,0.902083333,1.157,1.010625,tens
VM,5,58,0.739583333,1.078833333,0.940208333,tens
VM,5,59,0.75125,1.067,0.953854167,tens
VM,5,60,0.719166667,1.051666667,0.930833333,tens
VM,6,61,0.84,0.779166667,0.9975,tens
VM,6,62,0.81375,0.768833333,0.989791667,tens
VM,6,63,0.81125,0.754666667,0.980208333,tens
HB,7,64,2.758333333,3.190666667,3.345,tens
HB,7,65,2.673333333,2.980666667,3.505,tens
HB,7,66,2.658333333,2.907666667,3.48125,tens
HB,8,67,3.605,4.213333333,3.191666667,tens
HB,8,68,3.570833333,4.056666667,3.127083333,tens
HB,8,69,3.541666667,3.953333333,3.090833333,tens
HB,9,70,3.733333333,4.243333333,3.973541667,tens
HB,9,71,3.758333333,4.35,3.93625,tens
HB,9,72,3.719166667,4.28,3.897916667,tens
TG,10,73,3.643333333,4.808666667,3.441666667,tens
TG,10,74,2.771666667,4.678333333,3.36875,tens
TG,10,75,2.4125,4.503333333,3.302083333,tens
TG,11,76,2.383333333,4.99,5.226875,tens
TG,11,77,2.225,4.806666667,5.035625,tens
TG,11,78,2.191666667,4.956666667,4.96875,tens
TG,12,79,8.316666667,10.342,10.70625,tens
TG,12,80,8.125,11.00833333,10.2625,tens
TG,12,81,8.016666667,10.65666667,10.41041667,tens
AP,13,82,33.43,24.271,19.4225,tens
AP,13,83,31.89,23.97,19.10625,tens
AP,13,84,32.43,24.562,19.281875,tens
AP,14,85,19.125,16.01,13.23291667,tens
AP,14,86,19.27166667,15.90666667,12.44666667,tens
AP,14,87,19.77,15.70133333,12.33958333,tens
AP,15,88,35.9875,27.419,19.45375,tens
AP,15,89,34.725,26.954,19.559375,tens
AP,15,90,34.39,26.734,19.53125,tens
