species,tree_id,pres_calib,tens_calib,pressure
Tectona grandis,1,1.076763889,0.5885,0.02
Tectona grandis,2,1.645944444,0.453333333,0.02
Tectona grandis,3,2.908666667,1.630555556,0.02
Hevea brasiliensis ,4,0.359555556,0.539333333,0.02
Hevea brasiliensis ,5,0.701277778,0.7145,0.02
Hevea brasiliensis ,6,1.162277778,0.747388889,0.02
Vatica mangachapoi,7,6.407833333,6.516666667,0.02
Vatica mangachapoi,8,5.359,3.877777778,0.02
Vatica mangachapoi,9,7.086833333,7.006833333,0.02
Hopea hongaychsis,10,0.249944444,0.187944444,0.02
Hopea hongaychsis,11,0.177888889,0.147333333,0.02
Hopea hongaychsis,12,0.273777778,0.164333333,0.02
Acacia pennata,13,0.248694444,0.20825,0.02
Acacia pennata,14,0.332666667,0.130916667,0.02
Acacia pennata,15,0.268305556,0.200333333,0.02
Tectona grandis,1,2.782,2.331722222,0.05
Tectona grandis,2,3.174611111,2.458888889,0.05
Tectona grandis,3,5.919722222,5.3345,0.05
Hevea brasiliensis ,4,1.101888889,1.513166667,0.05
Hevea brasiliensis ,5,2.234666667,2.037222222,0.05
Hevea brasiliensis ,6,2.957388889,2.145555556,0.05
Vatica mangachapoi,7,10.99,12.13383333,0.05
Vatica mangachapoi,8,10.68,7.936333333,0.05
Vatica mangachapoi,9,12.93566667,13.51783333,0.05
Hopea hongaychsis,10,0.999,0.587388889,0.05
Hopea hongaychsis,11,0.689638889,0.532916667,0.05
Hopea hongaychsis,12,0.612,0.383777778,0.05
Acacia pennata,13,0.713722222,0.418472222,0.05
Acacia pennata,14,0.792388889,0.365611111,0.05
Acacia pennata,15,0.805861111,0.490111111,0.05
Tectona grandis,1,3.987777778,2.696666667,0.08
Tectona grandis,2,5.187,4.061666667,0.08
Tectona grandis,3,12.02772222,8.367777778,0.08
Hevea brasiliensis ,4,2.518444444,2.755,0.08
Hevea brasiliensis ,5,3.833222222,2.509222222,0.08
Hevea brasiliensis ,6,4.305888889,3.148722222,0.08
Vatica mangachapoi,7,14.39266667,15.41616667,0.08
Vatica mangachapoi,8,15.369,10.13844444,0.08
Vatica mangachapoi,9,16.63916667,15.61183333,0.08
Hopea hongaychsis,10,1.921194444,0.826888889,0.08
Hopea hongaychsis,11,1.184083333,0.753305556,0.08
Hopea hongaychsis,12,1.168888889,0.791333333,0.08
Acacia pennata,13,1.205166667,0.832333333,0.08
Acacia pennata,14,1.298833333,0.583805556,0.08
Acacia pennata,15,1.508277778,0.879472222,0.08
