Location,Xylem Type,Species name,Sample number,Sample length,wood density,SW/DW,SWC,Ks,Mean-Ks,max-Ks ,Dv,Dh,VAF,VF,P,P_g, K,Fd,Removed K,removed Fd
T,DP,Hevea brasiliensis ,1,172.9,0.51,2.19,1.19,3.46,4.22,4.96,110.77,124.74,4.11,4.09,0.02,0.0116,0.07,40,,
T,DP,Hevea brasiliensis ,1,172.9,0.51,2.19,1.19,3.7,4.22,4.96,110.77,124.74,4.11,4.09,0.03,0.0174,0.14,64.2,,
T,DP,Hevea brasiliensis ,1,172.9,0.51,2.19,1.19,4.96,4.22,4.96,110.77,124.74,4.11,4.09,0.04,0.0231,0.23,114.75,,
T,DP,Hevea brasiliensis ,1,172.9,0.51,2.19,1.19,4.51,4.22,4.96,110.77,124.74,4.11,4.09,0.05,0.0289,0.26,130.48,,
T,DP,Hevea brasiliensis ,1,172.9,0.51,2.19,1.19,4.4,4.22,4.96,110.77,124.74,4.11,4.09,0.06,0.0347,0.32,152.69,,
T,DP,Hevea brasiliensis ,1,172.9,0.51,2.19,1.19,4.28,4.22,4.96,110.77,124.74,4.11,4.09,0.07,0.0405,0.37,173.35,,
T,DP,Hevea brasiliensis ,2,145.1,0.73,1.67,0.67,0.32,0.85,1.29,121.6,152.23,4.03,3.21,0.02,0.0138,0.05,4.46,,
T,DP,Hevea brasiliensis ,2,145.1,0.73,1.67,0.67,0.53,0.85,1.29,121.6,152.23,4.03,3.21,0.03,0.0207,0.04,10.93,,
T,DP,Hevea brasiliensis ,2,145.1,0.73,1.67,0.67,0.92,0.85,1.29,121.6,152.23,4.03,3.21,0.04,0.0276,0.1,25.44,,
T,DP,Hevea brasiliensis ,2,145.1,0.73,1.67,0.67,0.97,0.85,1.29,121.6,152.23,4.03,3.21,0.05,0.0345,0.13,33.58,,
T,DP,Hevea brasiliensis ,2,145.1,0.73,1.67,0.67,1.07,0.85,1.29,121.6,152.23,4.03,3.21,0.06,0.0414,0.22,44.36,,
T,DP,Hevea brasiliensis ,2,145.1,0.73,1.67,0.67,1.29,0.85,1.29,121.6,152.23,4.03,3.21,0.07,0.0482,0.3,61.99,,
T,DP,Hevea brasiliensis ,3,198.5,0.51,1.98,0.98,1.94,4,5.43,119.35,153.34,4.37,3.54,0.02,0.0101,0.16,19.58,,
T,DP,Hevea brasiliensis ,3,198.5,0.51,1.98,0.98,2.85,4,5.43,119.35,153.34,4.37,3.54,0.03,0.0151,0.28,43.12,,
T,DP,Hevea brasiliensis ,3,198.5,0.51,1.98,0.98,3.63,4,5.43,119.35,153.34,4.37,3.54,0.04,0.0202,0.4,73.11,,
T,DP,Hevea brasiliensis ,3,198.5,0.51,1.98,0.98,5.07,4,5.43,119.35,153.34,4.37,3.54,0.05,0.0252,0.74,127.8,,
T,DP,Hevea brasiliensis ,3,198.5,0.51,1.98,0.98,5.05,4,5.43,119.35,153.34,4.37,3.54,0.06,0.0302,0.78,152.64,,
T,DP,Hevea brasiliensis ,3,198.5,0.51,1.98,0.98,5.43,4,5.43,119.35,153.34,4.37,3.54,0.07,0.0353,1.04,191.64,,
T,DP,Hevea brasiliensis ,4,183.5,0.49,2.26,1.26,0.5,3.54,6.31,129.68,164.06,5.18,3.71,0.02,0.0109,0.21,5.48,,
T,DP,Hevea brasiliensis ,4,183.5,0.49,2.26,1.26,1.91,3.54,6.31,129.68,164.06,5.18,3.71,0.03,0.0163,0.34,31.2,,
T,DP,Hevea brasiliensis ,4,183.5,0.49,2.26,1.26,2.82,3.54,6.31,129.68,164.06,5.18,3.71,0.04,0.0218,0.47,61.48,,
T,DP,Hevea brasiliensis ,4,183.5,0.49,2.26,1.26,4.57,3.54,6.31,129.68,164.06,5.18,3.71,0.05,0.0272,0.81,124.55,,
T,DP,Hevea brasiliensis ,4,183.5,0.49,2.26,1.26,5.12,3.54,6.31,129.68,164.06,5.18,3.71,0.06,0.0327,0.55,167.32,,
T,DP,Hevea brasiliensis ,4,183.5,0.49,2.26,1.26,6.31,3.54,6.31,129.68,164.06,5.18,3.71,0.07,0.0381,0.62,240.71,,
T,DP,Hevea brasiliensis ,5,173.1,0.48,2.19,1.19,1.62,5.1,7.03,143.45,180.66,4.7,2.65,0.02,0.0116,0.04,18.73,,
T,DP,Hevea brasiliensis ,5,173.1,0.48,2.19,1.19,3.66,5.1,7.03,143.45,180.66,4.7,2.65,0.03,0.0173,0.12,63.42,,
T,DP,Hevea brasiliensis ,5,173.1,0.48,2.19,1.19,5.23,5.1,7.03,143.45,180.66,4.7,2.65,0.04,0.0231,0.21,120.93,,
T,DP,Hevea brasiliensis ,5,173.1,0.48,2.19,1.19,6.2,5.1,7.03,143.45,180.66,4.7,2.65,0.05,0.0289,0.34,178.99,,
T,DP,Hevea brasiliensis ,5,173.1,0.48,2.19,1.19,6.83,5.1,7.03,143.45,180.66,4.7,2.65,0.06,0.0347,0.55,236.74,,
T,DP,Hevea brasiliensis ,5,173.1,0.48,2.19,1.19,7.03,5.1,7.03,143.45,180.66,4.7,2.65,0.07,0.0404,0.77,284.39,,
T,DP,Hevea brasiliensis ,6,173.9,0.49,2.19,1.19,6.26,7.67,8.31,169.56,200.25,4.78,1.99,0.02,0.0115,0.43,71.98,,
T,DP,Hevea brasiliensis ,6,173.9,0.49,2.19,1.19,7.83,7.67,8.31,169.56,200.25,4.78,1.99,0.03,0.0173,0.72,135.07,,
T,DP,Hevea brasiliensis ,6,173.9,0.49,2.19,1.19,8.31,7.67,8.31,169.56,200.25,4.78,1.99,0.04,0.023,0.95,191.21,,
T,DP,Hevea brasiliensis ,6,173.9,0.49,2.19,1.19,8.09,7.67,8.31,169.56,200.25,4.78,1.99,0.05,0.0288,0.96,232.57,,
T,DP,Hevea brasiliensis ,6,173.9,0.49,2.19,1.19,7.28,7.67,8.31,169.56,200.25,4.78,1.99,0.06,0.0345,1.02,251.01,,
T,DP,Hevea brasiliensis ,6,173.9,0.49,2.19,1.19,6.86,7.67,8.31,169.56,200.25,4.78,1.99,0.07,0.0403,1.03,276.28,,
T,DP,Hevea brasiliensis ,7,175.7,0.43,2.36,1.36,6.38,9.82,11.56,NA,NA,NA,NA,0.02,0.0114,0.45,72.62,,
T,DP,Hevea brasiliensis ,7,175.7,0.43,2.36,1.36,8.95,9.82,11.56,NA,NA,NA,NA,0.03,0.0171,0.65,152.76,,
T,DP,Hevea brasiliensis ,7,175.7,0.43,2.36,1.36,11.25,9.82,11.56,NA,NA,NA,NA,0.04,0.0228,0.77,256.23,,
T,DP,Hevea brasiliensis ,7,175.7,0.43,2.36,1.36,9.93,9.82,11.56,NA,NA,NA,NA,0.05,0.0285,0.92,282.62,,
T,DP,Hevea brasiliensis ,7,175.7,0.43,2.36,1.36,10.85,9.82,11.56,NA,NA,NA,NA,0.06,0.0341,1,370.4,,
T,DP,Hevea brasiliensis ,7,175.7,0.43,2.36,1.36,11.56,9.82,11.56,NA,NA,NA,NA,0.07,0.0398,1.08,460.68,,
T,DP,Hevea brasiliensis ,8,167.5,0.46,2.25,1.25,5.9,5.79,6.38,NA,NA,NA,NA,0.02,0.0119,0.25,70.39,,
T,DP,Hevea brasiliensis ,8,167.5,0.46,2.25,1.25,6.38,5.79,6.38,NA,NA,NA,NA,0.03,0.0179,0.55,114.22,,
T,DP,Hevea brasiliensis ,8,167.5,0.46,2.25,1.25,5.96,5.79,6.38,NA,NA,NA,NA,0.04,0.0239,0.56,142.43,,
T,DP,Hevea brasiliensis ,8,167.5,0.46,2.25,1.25,5.59,5.79,6.38,NA,NA,NA,NA,0.05,0.0299,0.61,166.79,,
T,DP,Hevea brasiliensis ,8,167.5,0.46,2.25,1.25,5.51,5.79,6.38,NA,NA,NA,NA,0.06,0.0358,0.68,197.48,,
T,DP,Hevea brasiliensis ,8,167.5,0.46,2.25,1.25,5.38,5.79,6.38,NA,NA,NA,NA,0.07,0.0418,0.7,224.7,,
T,DP,Hevea brasiliensis ,9,169,0.48,2.23,1.23,9.97,13,14.57,NA,NA,NA,NA,0.02,0.0118,0.48,118.05,,
T,DP,Hevea brasiliensis ,9,169,0.48,2.23,1.23,12.96,13,14.57,NA,NA,NA,NA,0.03,0.0178,0.64,230.06,,
T,DP,Hevea brasiliensis ,9,169,0.48,2.23,1.23,14.57,13,14.57,NA,NA,NA,NA,0.04,0.0237,0.8,344.75,,
T,DP,Hevea brasiliensis ,9,169,0.48,2.23,1.23,14.19,13,14.57,NA,NA,NA,NA,0.05,0.0296,0.93,419.85,,
T,DP,Hevea brasiliensis ,9,169,0.48,2.23,1.23,12.55,13,14.57,NA,NA,NA,NA,0.06,0.0355,0.82,445.72,,
T,DP,Hevea brasiliensis ,9,169,0.48,2.23,1.23,13.77,13,14.57,NA,NA,NA,NA,0.07,0.0414,1.1,570.35,,
S,DP,Haldina cordifolia,1,216,0.59,1.91,0.91,4.5,5.23,6.86,57.34,64.64,21.84,95.24,0.02,0.0093,0.09,41.67,,
S,DP,Haldina cordifolia,1,216,0.59,1.91,0.91,3.96,5.23,6.86,57.34,64.64,21.84,95.24,0.03,0.0139,0.16,55.03,,
S,DP,Haldina cordifolia,1,216,0.59,1.91,0.91,4.5,5.23,6.86,57.34,64.64,21.84,95.24,0.04,0.0185,0.29,83.37,,
S,DP,Haldina cordifolia,1,216,0.59,1.91,0.91,5.52,5.23,6.86,57.34,64.64,21.84,95.24,0.05,0.0231,0.37,127.67,,
S,DP,Haldina cordifolia,1,216,0.59,1.91,0.91,6.02,5.23,6.86,57.34,64.64,21.84,95.24,0.06,0.0278,0.55,167.23,,
S,DP,Haldina cordifolia,1,216,0.59,1.91,0.91,6.86,5.23,6.86,57.34,64.64,21.84,95.24,0.07,0.0324,0.71,222.22,,
S,DP,Haldina cordifolia,2,211,0.59,1.89,0.89,8.25,7.53,8.25,47.98,56.11,21.02,110.82,0.02,0.0095,0.26,78.24,,
S,DP,Haldina cordifolia,2,211,0.59,1.89,0.89,6.82,7.53,8.25,47.98,56.11,21.02,110.82,0.03,0.0142,0.37,96.94,,
S,DP,Haldina cordifolia,2,211,0.59,1.89,0.89,7.2,7.53,8.25,47.98,56.11,21.02,110.82,0.04,0.019,0.62,136.55,,
S,DP,Haldina cordifolia,2,211,0.59,1.89,0.89,7.59,7.53,8.25,47.98,56.11,21.02,110.82,0.05,0.0237,0.67,179.79,,
